,Patterns,Tags
0,Salut,Bonjour
1,Bonjour,Bonjour
2,Coucou,Bonjour
3,Comment ça va?,Bonjour
4,Je recherche de l'aide,Bonjour
5,C'est quoi l'ISEN ?,ISEN_général
6,Que veux dire ISEN?,ISEN_général
7,ISEN nom,ISEN_général
8,En combien d’années se déroule l’ISEN ?,Cursus_ISEN
9,Nombre années d'étude,Cursus_ISEN
10,Cursus ISEN,Cursus_ISEN
11,Cursus école,Cursus_ISEN
12,C’est quoi le cursus de l’école,Cursus_ISEN
13,Combien d'années d'études post-bac?,Cursus_ISEN
14,Durée cursus,Cursus_ISEN
15,Comment foncionne l'ISEN,Cursus_ISEN
16,Fonctionnement ISEN,Cursus_ISEN
17,comment est-on formé à l'ISEN?,Cursus_ISEN
18,Formation ISEN,Cursus_ISEN
19,Quels sont les enseignements à l'ISEN?,Cursus_ISEN
20,Enseignements ISEN,Cursus_ISEN
21,C’est quoi Yncréa Ouest ?,Campus_ouest
22,Combien y a t-il d’écoles dans l’ouest?,Campus_ouest
23,Quels sont les campus de l’ISEN Ouest ?,Campus_ouest
24,Où peut-on étudier à l'ISEN?,Campus_ouest
25,Quels sont les centres de formation de l'ISEN?,Campus_ouest
26,Quelle est la localisation de l'ISEN?,Campus_ouest
27,Localisation ISEN,Campus_ouest
28,Quelles sont les certifications d’Yncréa ?,Certifications
29,L’ISEN est-il sous contrat avec le Ministère de l’Enseignement Supérieur et de la Recherche ?,Certifications
30,L’ISEN est-il sous contrat avec le MESR ?,Certifications
31,Certifications ISEN,Certifications
32,Enseignement supérieur,Certifications
33,Gage de qualité de l'ISEN,Certifications
34,MESR,Certifications
35,Ministère de l'enseignement supérieur et de la recherche,Certifications
36,L'ISEN est-il reconnu de quelconques manières?,Certifications
37,Qu'offre l'ISEN en terme d'assurance de reconnaissance du niveau de sortie?,Certifications
38,Quel est le taux d’insertion des jeunes diplômés ?,Taux_insertion
39,Taux d’insertion,Taux_insertion
40,Où sont embauchés les jeunes diplômés ?,Taux_insertion
41,Lieu d'embauche,Taux_insertion
42,Quels sont les lieux de travail après diplôme ?,Taux_insertion
43,Trouve-t-on facilement du diplôme après l'ISEN?,Taux_insertion
44,Est-on obligé de travailler sur Paris après notre diplome?,Taux_insertion
45,Quelle est le taux d'embauches après l'ISEN?,Taux_insertion
46,Insertion professionnelle,Taux_insertion
47,C’est quoi Yncrea ?,Yncrea
48,Qu’est ce que Yncréa ?,Yncrea
49,Yncrea,Yncrea
50,Junia,Yncrea
51,Yncrea ouest,Yncrea
52,Yncrea medittérannée,Yncrea
53,Yncrea Nord,Yncrea
54,L'ISEN fait elle est partie d'un groupe ?,Yncrea
55,Pourquoi Yncrea ?,Yncrea
56,Quelle différences entre l'ISEN et Yncrea?,Yncrea
57,Différence ISEN Yncréa,Yncrea
58,Combien y a t-il d’étudiants ?,Nombre_etudiants_alumni_etudiants
59,Combien y a t-il d’enseignants permanents?,Nombre_etudiants_alumni_etudiants
60,Combien y a t-il d’alumnis ?,Nombre_etudiants_alumni_etudiants
61,Nombre étudiants,Nombre_etudiants_alumni_etudiants
62,Nombre élèves,Nombre_etudiants_alumni_etudiants
63,Nombre enseignants-chercheurs,Nombre_etudiants_alumni_etudiants
64,Nombre alumnis,Nombre_etudiants_alumni_etudiants
65,Quels sont les tarifs du cycle CGSI ?,tarif_CGSI
66,prix CGSI,tarif_CGSI
67,Quels sont les frais de scolarité du cycle CGSI ?,tarif_CGSI
68,Combien coûte les années 1 et 2 en CSI ?,tarif_CGSI
69,Combien coûte les années 1 et 2 classes préparatoires implantées,tarif_CGSI
70,tarif CGSI,tarif_CGSI
71,tarif CSI,tarif_CGSI
72,Quelle est le montant d'une année du cycle généraliste?,tarif_CGSI
73,"une année du cycle généraliste, ça coute combien?",tarif_CGSI
74,Quels sont les tarifs du cycle CIR?,tarif_CIR
75,tarif CIR,tarif_CIR
76,prix CIR,tarif_CIR
77,Quels sont les frais de scolarité du cycle CIR?,tarif_CIR
78,Combien coûte les années 1 et 2 en CIR?,tarif_CIR
79,Combien coûte les années 1 et 2 en Cycle Informatique et Réseaux,tarif_CIR
80,Quelle est le montant d'une année du cycle informatique?,tarif_CIR
81,"une année du cycle informatique, ça coute combien?",tarif_CIR
82,Quels sont les tarifs du cycle BIOST?,tarif_BIOST
83,tarif BIOST,tarif_BIOST
84,prix BIOST,tarif_BIOST
85,Quels sont les frais de scolarité du cycle BIOST?,tarif_BIOST
86,Combien coûte les années 1 et 2 en BIOST?,tarif_BIOST
87,"Combien coûte les années 1 et 2 en Cycle Biologie, Sciences et Technologies",tarif_BIOST
88,Quelle est le montant d'une année du cycle biologique?,tarif_BIOST
89,"une année du cycle biologique, ça coute combien?",tarif_BIOST
90,Quels sont les tarifs du cycle CENT ?,tarif_CENT
91,tarif CENT,tarif_CENT
92,Prix CENT,tarif_CENT
93,Quels sont les frais de scolarité du cycle CENT ?,tarif_CENT
94,Combien coûte les années 1 et 2 en CENT ?,tarif_CENT
95,Combien coûte les années 1 et 2 en Cycle Economie Numérique et Technologies,tarif_CENT
96,Quelle est le montant d'une année du cycle economie?,tarif_CENT
97,"une année du cycle economie, ça coute combien?",tarif_CENT
98,Quels sont les tarifs du cycle EST?,tarif_EST
99,tarif EST,tarif_EST
